Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,7.5,8.9,7.45,8.75,8.702064,861700
2017-01-04,8.7,8.9,8.5,8.85,8.82168,586700
2017-01-05,8.75,8.8,8.25,8.3,8.273439999999999,380300
2017-01-06,8.45,8.85,8.3,8.65,8.622319000000001,279900
2017-01-09,8.6,8.7,8.13,8.25,8.2236,239000
2017-01-10,8.25,8.4,8.1,8.15,8.123919,261300
2017-01-11,8.2,8.7,8.1,8.7,8.67216,288300
2017-01-12,9.0,9.25,8.75,9.15,9.12072,425500
2017-01-13,9.15,9.61,8.91,9.45,9.41976,459900
2017-01-17,9.3,9.45,8.65,8.65,8.622319000000001,347700
2017-01-18,8.55,8.8,8.55,8.7,8.67216,313600
2017-01-19,8.75,9.05,8.3,8.45,8.42296,257500
2017-01-20,8.5,8.71,8.35,8.65,8.622319000000001,288800
2017-01-23,8.65,8.7,8.2,8.35,8.32328,340000
2017-01-24,8.5,8.55,8.15,8.2,8.173759,641600
2017-01-25,8.35,8.7,8.25,8.6,8.57248,354100
2017-01-26,8.55,8.7,8.05,8.1,8.07408,293400
2017-01-27,8.1,8.2,8.0,8.05,8.024239999999999,265600
2017-01-30,7.95,8.1,7.4,7.85,7.82488,396500
2017-01-31,7.85,7.85,7.3,7.6,7.57568,358000
2017-02-01,7.65,7.75,7.4,7.4,7.37632,333600
2017-02-02,8.15,9.15,8.15,8.45,8.42296,1116900
2017-02-03,8.4,9.1,8.35,8.95,8.92136,716400
2017-02-06,8.9,9.04,8.5,8.8,8.77184,529200
2017-02-07,8.75,8.8,8.19,8.2,8.173759,417500
2017-02-08,8.15,8.15,7.79,7.95,7.9245600000000005,386000
2017-02-09,8.0,8.15,7.45,7.5,7.476,363900
2017-02-10,7.9,8.3,7.9,8.3,8.273439999999999,612100
2017-02-13,8.35,8.85,8.35,8.75,8.722,741700
2017-02-14,8.65,9.5,8.6,9.0,8.9712,1042500
2017-02-15,8.95,9.25,8.8,9.0,8.9712,510700
2017-02-16,8.95,9.1,8.6,8.95,8.92136,365900
2017-02-17,8.9,9.0,8.6,9.0,8.9712,459000
2017-02-21,9.0,9.15,8.95,9.0,8.9712,347400
2017-02-22,8.8,8.9,8.5,8.65,8.622319000000001,416800
2017-02-23,8.7,8.75,8.13,8.35,8.32328,413300
2017-02-24,8.1,8.3,7.9,8.1,8.07408,358500
2017-02-27,8.1,8.63,8.1,8.55,8.522639999999999,390000
2017-02-28,8.45,8.65,8.0,8.05,8.024239999999999,477700
2017-03-01,8.35,8.65,8.3,8.5,8.4728,297400
2017-03-02,8.8,9.2,8.8,9.0,8.9712,743600
2017-03-03,9.05,9.2,8.75,9.15,9.12072,342700
2017-03-06,9.1,9.1,8.55,8.65,8.622319000000001,238500
2017-03-07,8.7,8.7,8.45,8.45,8.42296,364200
2017-03-08,8.6,8.7,8.5,8.6,8.57248,210300
2017-03-09,8.6,8.65,8.1,8.4,8.373119,369500
2017-03-10,8.45,8.45,8.1,8.15,8.123919,350000
2017-03-13,8.2,8.35,8.1,8.1,8.07408,231100
2017-03-14,8.05,8.1,7.75,7.85,7.82488,356000
2017-03-15,7.85,8.35,7.8,8.25,8.2236,281900
2017-03-16,8.35,8.35,7.75,7.85,7.82488,339100
2017-03-17,7.9,7.9,7.55,7.55,7.52584,843900
2017-03-20,7.55,7.6,7.15,7.15,7.12712,624700
2017-03-21,7.2,7.23,6.8,7.0,6.9776,560400
2017-03-22,6.95,6.95,6.5,6.75,6.7284,554300
2017-03-23,6.7,6.85,6.65,6.85,6.82808,553300
2017-03-24,6.8,7.0,6.63,6.8,6.778239999999999,446100
2017-03-27,6.7,6.8,6.53,6.65,6.6287199999999995,420500
2017-03-28,6.6,6.9,6.45,6.75,6.7284,513100
2017-03-29,6.75,6.75,6.45,6.65,6.6287199999999995,345400
2017-03-30,6.65,6.8,6.5,6.5,6.4792,248600
2017-03-31,6.5,6.8,6.45,6.55,6.52904,557700
2017-04-03,6.65,6.95,6.6,6.65,6.6287199999999995,526000
2017-04-04,6.6,6.65,6.15,6.25,6.23,587100
2017-04-05,6.35,6.48,4.85,5.4,5.4,3436100
2017-04-06,5.5,5.8,5.22,5.6,5.6,854000
2017-04-07,5.45,5.55,5.1,5.1,5.1,841000
2017-04-10,5.3,5.75,5.3,5.45,5.45,662100
2017-04-11,5.45,5.45,5.05,5.05,5.05,575300
2017-04-12,5.1,5.1,4.75,4.9,4.9,537800
2017-04-13,4.8,4.9,4.4,4.65,4.65,452500
2017-04-17,4.95,4.95,4.5,4.5,4.5,535800
2017-04-18,4.4,4.5,4.2,4.4,4.4,663500
2017-04-19,4.4,4.4,3.85,4.2,4.2,1666000
2017-04-20,4.2,4.4,4.05,4.3,4.3,574100
2017-04-21,4.25,4.75,4.25,4.7,4.7,999300
2017-04-24,4.9,4.94,4.45,4.7,4.7,1483500
2017-04-25,4.7,4.8,4.16,4.3,4.3,777900
2017-04-26,4.25,4.5,3.93,4.25,4.25,905100
2017-04-27,4.35,4.35,3.95,4.05,4.05,1033500
2017-04-28,4.1,4.31,3.8,3.95,3.95,1097800
2017-05-01,4.05,4.2,3.8,4.0,4.0,609100
2017-05-02,2.15,2.2,1.3,1.8,1.8,19202400
2017-05-03,1.8,1.8,1.45,1.55,1.55,3974100
2017-05-04,1.6,1.75,1.45,1.65,1.65,3309200
2017-05-05,1.65,1.9,1.56,1.85,1.85,2244300
2017-05-08,1.85,2.55,1.8,2.25,2.25,3086400
2017-05-09,2.2,2.3,2.0,2.2,2.2,1988400
2017-05-10,2.2,2.25,2.15,2.25,2.25,805000
2017-05-11,2.2,2.24,2.0,2.0,2.0,1320700
2017-05-12,2.15,2.3,2.1,2.25,2.25,2272000
2017-05-15,2.3,2.3,2.0,2.05,2.05,5587200
2017-05-16,2.1,2.15,2.0,2.05,2.05,1914900
2017-05-17,2.05,2.1,2.0,2.0,2.0,1141600
2017-05-18,2.0,2.05,1.9,1.95,1.95,1583100
2017-05-19,1.95,2.3,1.95,2.3,2.3,1339800
2017-05-22,2.35,2.53,2.15,2.2,2.2,1150500
2017-05-23,2.25,2.35,2.17,2.2,2.2,876100
2017-05-24,2.2,2.25,2.15,2.15,2.15,427700
2017-05-25,2.15,2.25,2.05,2.05,2.05,494400
2017-05-26,2.05,2.1,2.05,2.05,2.05,307000
2017-05-30,2.1,2.15,2.05,2.15,2.15,760400
2017-05-31,2.15,2.19,2.0,2.0,2.0,856100
2017-06-01,2.0,2.23,2.0,2.1,2.1,621600
2017-06-02,2.1,2.3,2.1,2.25,2.25,464100
2017-06-05,2.2,2.2,2.1,2.1,2.1,322500
2017-06-06,2.1,2.2,2.1,2.1,2.1,292300
2017-06-07,2.15,2.17,2.05,2.15,2.15,474900
2017-06-08,2.2,2.2,2.1,2.15,2.15,289400
2017-06-09,2.15,2.25,2.15,2.25,2.25,362200
2017-06-12,2.2,2.3,2.2,2.25,2.25,444900
2017-06-13,2.25,2.5,2.2,2.5,2.5,1010300
2017-06-14,2.5,2.75,2.45,2.55,2.55,894100
2017-06-15,2.5,2.75,2.5,2.75,2.75,444100
2017-06-16,2.75,3.1,2.7,3.05,3.05,1503200
2017-06-19,3.15,3.25,2.73,3.05,3.05,2132400
2017-06-20,2.95,3.0,2.8,2.9,2.9,579500
2017-06-21,2.9,2.95,2.7,2.7,2.7,391400
2017-06-22,2.75,3.0,2.7,2.9,2.9,436600
2017-06-23,2.95,3.15,2.9,3.05,3.05,4339300
2017-06-26,3.15,3.2,2.95,2.95,2.95,595900
2017-06-27,2.95,3.0,2.9,2.95,2.95,295700
2017-06-28,3.05,3.05,2.75,2.9,2.9,510500
2017-06-29,2.85,3.38,2.85,3.2,3.2,1293400
2017-06-30,3.2,3.38,3.1,3.15,3.15,330500
2017-07-03,3.15,3.3,3.0,3.1,3.1,400400
2017-07-05,3.1,3.25,3.0,3.0,3.0,321300
2017-07-06,3.0,3.1,2.95,3.0,3.0,522800
2017-07-07,3.1,3.1,2.8,2.8,2.8,676500
2017-07-10,2.75,2.86,2.63,2.75,2.75,1054400
2017-07-11,2.75,2.75,2.35,2.35,2.35,1076200
2017-07-12,2.4,2.48,2.32,2.4,2.4,447000
2017-07-13,2.45,2.7,2.35,2.35,2.35,612200
2017-07-14,2.7,3.35,2.55,3.25,3.25,6216300
2017-07-17,3.25,4.0,3.16,3.9,3.9,4098700
2017-07-18,4.0,4.1,3.6,3.95,3.95,4279000
2017-07-19,3.95,4.05,3.8,4.0,4.0,878900
2017-07-20,4.05,4.1,3.93,4.0,4.0,534700
2017-07-21,4.0,4.1,3.85,4.0,4.0,912600
2017-07-24,4.0,4.05,3.85,4.0,4.0,484100
2017-07-25,3.9,4.25,3.9,4.15,4.15,656500
2017-07-26,4.2,5.15,4.2,4.85,4.85,1743600
2017-07-27,4.85,4.9,4.36,4.6,4.6,542200
2017-07-28,4.6,4.7,4.5,4.7,4.7,331400
2017-07-31,4.75,4.75,4.5,4.55,4.55,450900
2017-08-01,4.55,4.7,4.3,4.5,4.5,707300
2017-08-02,4.45,4.61,4.45,4.55,4.55,306500
2017-08-03,4.5,4.8,4.5,4.65,4.65,245600
2017-08-04,4.75,5.0,4.65,4.95,4.95,685000
2017-08-07,5.05,5.05,4.8,4.9,4.9,404600
2017-08-08,4.9,5.01,4.7,4.8,4.8,599700
2017-08-09,4.8,4.8,4.5,4.6,4.6,332900
2017-08-10,4.55,4.55,4.2,4.3,4.3,519500
2017-08-11,4.25,4.8,4.21,4.6,4.6,369800
2017-08-14,4.6,4.85,4.59,4.7,4.7,436700
2017-08-15,4.7,4.75,4.55,4.6,4.6,245300
2017-08-16,4.6,4.7,4.45,4.45,4.45,405800
2017-08-17,4.5,4.6,4.25,4.35,4.35,252800
2017-08-18,4.3,4.45,4.1,4.15,4.15,371700
2017-08-21,4.15,4.25,4.05,4.1,4.1,221200
2017-08-22,4.15,4.15,3.81,3.95,3.95,473700
2017-08-23,3.9,4.25,3.86,4.2,4.2,378200
2017-08-24,4.2,4.4,4.1,4.35,4.35,173000
2017-08-25,4.35,4.4,4.2,4.3,4.3,297000
2017-08-28,4.3,4.66,4.15,4.55,4.55,433700
2017-08-29,4.5,4.85,4.5,4.75,4.75,433400
2017-08-30,4.7,4.99,4.65,4.9,4.9,464500
2017-08-31,4.9,5.25,4.76,5.0,5.0,436800
2017-09-01,5.05,5.5,5.0,5.35,5.35,731400
2017-09-05,5.3,5.55,4.95,5.2,5.2,589900
2017-09-06,5.2,5.5,5.1,5.3,5.3,407800
2017-09-07,5.4,5.65,5.25,5.55,5.55,325200
2017-09-08,5.55,5.8,5.55,5.65,5.65,431700
2017-09-11,5.7,5.75,5.35,5.5,5.5,213600
2017-09-12,5.5,5.75,5.45,5.65,5.65,370900
2017-09-13,5.7,5.8,5.55,5.75,5.75,320600
2017-09-14,5.75,5.95,5.6,5.8,5.8,314700
2017-09-15,5.9,6.1,5.8,6.05,6.05,742100
